"trainer/global_step","phase_reshape_10k_resumed - _step","phase_reshape_10k_resumed - _step__MIN","phase_reshape_10k_resumed - _step__MAX","phase_reshape_10k_resumed - val/loss_epoch","phase_reshape_10k_resumed - val/loss_epoch__MIN","phase_reshape_10k_resumed - val/loss_epoch__MAX","phase_reshape_1M - _step","phase_reshape_1M - _step__MIN","phase_reshape_1M - _step__MAX","phase_reshape_1M - val/loss_epoch","phase_reshape_1M - val/loss_epoch__MIN","phase_reshape_1M - val/loss_epoch__MAX","phase_reshape_10k - _step","phase_reshape_10k - _step__MIN","phase_reshape_10k - _step__MAX","phase_reshape_10k - val/loss_epoch","phase_reshape_10k - val/loss_epoch__MIN","phase_reshape_10k - val/loss_epoch__MAX","phase_train500kids - _step","phase_train500kids - _step__MIN","phase_train500kids - _step__MAX","phase_train500kids - val/loss_epoch","phase_train500kids - val/loss_epoch__MIN","phase_train500kids - val/loss_epoch__MAX","phase_train2402 - _step","phase_train2402 - _step__MIN","phase_train2402 - _step__MAX","phase_train2402 - val/loss_epoch","phase_train2402 - val/loss_epoch__MIN","phase_train2402 - val/loss_epoch__MAX"
"157","","","","","","","534","534","534","0.37021109461784363","0.37021109461784363","0.37021109461784363","","","","","","","1851","1851","1851","0.2782357931137085","0.2782357931137085","0.2782357931137085","","","","","",""
"158","","","","","","","","","","","","","493","493","493","0.3639761209487915","0.3639761209487915","0.3639761209487915","","","","","","","","","","","",""
"159","","","","","","","","","","","","","","","","","","","1879","1879","1879","0.2741323709487915","0.2741323709487915","0.2741323709487915","","","","","",""
"160","","","","","","","","","","","","","","","","","","","1912","1912","1912","0.26991623640060425","0.26991623640060425","0.26991623640060425","","","","","",""
"162","","","","","","","","","","","","","","","","","","","1926","1926","1926","0.2664701044559479","0.2664701044559479","0.2664701044559479","531","531","531","0.34600359201431274","0.34600359201431274","0.34600359201431274"
"163","","","","","","","","","","","","","","","","","","","1941","1941","1941","0.2629488408565521","0.2629488408565521","0.2629488408565521","","","","","",""
"165","","","","","","","565","565","565","0.35471755266189575","0.35471755266189575","0.35471755266189575","","","","","","","1955","1955","1955","0.25896745920181274","0.25896745920181274","0.25896745920181274","","","","","",""
"166","","","","","","","","","","","","","","","","","","","1970","1970","1970","0.2548828125","0.2548828125","0.2548828125","","","","","",""
"167","","","","","","","","","","","","","524","524","524","0.3470365107059479","0.3470365107059479","0.3470365107059479","","","","","","","","","","","",""
"168","","","","","","","","","","","","","","","","","","","1984","1984","1984","0.2511361837387085","0.2511361837387085","0.2511361837387085","","","","","",""
"169","","","","","","","","","","","","","","","","","","","2014","2014","2014","0.24755859375","0.24755859375","0.24755859375","","","","","",""
"171","","","","","","","","","","","","","","","","","","","2030","2030","2030","0.24406550824642181","0.24406550824642181","0.24406550824642181","563","563","563","0.32821890711784363","0.32821890711784363","0.32821890711784363"
"172","","","","","","","","","","","","","","","","","","","2045","2045","2045","0.24228140711784363","0.24228140711784363","0.24228140711784363","","","","","",""
"173","","","","","","","596","596","596","0.3395244777202606","0.3395244777202606","0.3395244777202606","","","","","","","","","","","","","","","","","",""
"174","","","","","","","","","","","","","","","","","","","2059","2059","2059","0.24212177097797394","0.24212177097797394","0.24212177097797394","","","","","",""
"175","","","","","","","","","","","","","","","","","","","2074","2074","2074","0.23419658839702606","0.23419658839702606","0.23419658839702606","","","","","",""
"177","","","","","","","","","","","","","555","555","555","0.32763671875","0.32763671875","0.32763671875","2088","2088","2088","0.23375526070594788","0.23375526070594788","0.23375526070594788","","","","","",""
"178","","","","","","","","","","","","","","","","","","","2103","2103","2103","0.2279052734375","0.2279052734375","0.2279052734375","","","","","",""
"180","","","","","","","","","","","","","","","","","","","2134","2134","2134","0.22632774710655212","0.22632774710655212","0.22632774710655212","594","594","594","0.3101337254047394","0.3101337254047394","0.3101337254047394"
"181","","","","","","","627","627","627","0.3237680196762085","0.3237680196762085","0.3237680196762085","","","","","","","2149","2149","2149","0.22236515581607819","0.22236515581607819","0.22236515581607819","","","","","",""
"183","","","","","","","","","","","","","","","","","","","2163","2163","2163","0.2192758470773697","0.2192758470773697","0.2192758470773697","","","","","",""
"184","","","","","","","","","","","","","","","","","","","2178","2178","2178","0.2168813794851303","0.2168813794851303","0.2168813794851303","","","","","",""
