"trainer/global_step","phase_reshape_10k_resumed - _step","phase_reshape_10k_resumed - _step__MIN","phase_reshape_10k_resumed - _step__MAX","phase_reshape_10k_resumed - val/acc_epoch","phase_reshape_10k_resumed - val/acc_epoch__MIN","phase_reshape_10k_resumed - val/acc_epoch__MAX","phase_reshape_1M - _step","phase_reshape_1M - _step__MIN","phase_reshape_1M - _step__MAX","phase_reshape_1M - val/acc_epoch","phase_reshape_1M - val/acc_epoch__MIN","phase_reshape_1M - val/acc_epoch__MAX","phase_reshape_10k - _step","phase_reshape_10k - _step__MIN","phase_reshape_10k - _step__MAX","phase_reshape_10k - val/acc_epoch","phase_reshape_10k - val/acc_epoch__MIN","phase_reshape_10k - val/acc_epoch__MAX","phase_train500kids - _step","phase_train500kids - _step__MIN","phase_train500kids - _step__MAX","phase_train500kids - val/acc_epoch","phase_train500kids - val/acc_epoch__MIN","phase_train500kids - val/acc_epoch__MAX","phase_train2402 - _step","phase_train2402 - _step__MIN","phase_train2402 - _step__MAX","phase_train2402 - val/acc_epoch","phase_train2402 - val/acc_epoch__MIN","phase_train2402 - val/acc_epoch__MAX"
"162","","","","","","","","","","","","","","","","","","","1926","1926","1926","0.8804043531417847","0.8804043531417847","0.8804043531417847","531","531","531","0.8361510634422302","0.8361510634422302","0.8361510634422302"
"163","","","","","","","","","","","","","","","","","","","1941","1941","1941","0.8821772336959839","0.8821772336959839","0.8821772336959839","","","","","",""
"165","","","","","","","565","565","565","0.8314297795295715","0.8314297795295715","0.8314297795295715","","","","","","","1955","1955","1955","0.8841865062713623","0.8841865062713623","0.8841865062713623","","","","","",""
"166","","","","","","","","","","","","","","","","","","","1970","1970","1970","0.8862326145172119","0.8862326145172119","0.8862326145172119","","","","","",""
"167","","","","","","","","","","","","","524","524","524","0.8356199264526367","0.8356199264526367","0.8356199264526367","","","","","","","","","","","",""
"168","","","","","","","","","","","","","","","","","","","1984","1984","1984","0.8881994485855103","0.8881994485855103","0.8881994485855103","","","","","",""
"169","","","","","","","","","","","","","","","","","","","2014","2014","2014","0.8899074196815491","0.8899074196815491","0.8899074196815491","","","","","",""
"171","","","","","","","","","","","","","","","","","","","2030","2030","2030","0.8916481733322144","0.8916481733322144","0.8916481733322144","563","563","563","0.8462594151496887","0.8462594151496887","0.8462594151496887"
"172","","","","","","","","","","","","","","","","","","","2045","2045","2045","0.8924883604049683","0.8924883604049683","0.8924883604049683","","","","","",""
"173","","","","","","","596","596","596","0.8401268720626831","0.8401268720626831","0.8401268720626831","","","","","","","","","","","","","","","","","",""
"174","","","","","","","","","","","","","","","","","","","2059","2059","2059","0.8923030495643616","0.8923030495643616","0.8923030495643616","","","","","",""
"175","","","","","","","","","","","","","","","","","","","2074","2074","2074","0.8966238498687744","0.8966238498687744","0.8966238498687744","","","","","",""
"177","","","","","","","","","","","","","555","555","555","0.8463459014892578","0.8463459014892578","0.8463459014892578","2088","2088","2088","0.8965507745742798","0.8965507745742798","0.8965507745742798","","","","","",""
"178","","","","","","","","","","","","","","","","","","","2103","2103","2103","0.8996059894561768","0.8996059894561768","0.8996059894561768","","","","","",""
"180","","","","","","","","","","","","","","","","","","","2134","2134","2134","0.900303304195404","0.900303304195404","0.900303304195404","594","594","594","0.8560296297073364","0.8560296297073364","0.8560296297073364"
"181","","","","","","","627","627","627","0.8486889600753784","0.8486889600753784","0.8486889600753784","","","","","","","2149","2149","2149","0.9022229909896851","0.9022229909896851","0.9022229909896851","","","","","",""
"183","","","","","","","","","","","","","","","","","","","2163","2163","2163","0.9037330150604248","0.9037330150604248","0.9037330150604248","","","","","",""
"184","","","","","","","","","","","","","","","","","","","2178","2178","2178","0.9047595262527466","0.9047595262527466","0.9047595262527466","","","","","",""
"186","","","","","","","","","","","","","586","586","586","0.8561249375343323","0.8561249375343323","0.8561249375343323","2192","2192","2192","0.9066339731216431","0.9066339731216431","0.9066339731216431","","","","","",""
"187","","","","","","","","","","","","","","","","","","","2207","2207","2207","0.9076486825942993","0.9076486825942993","0.9076486825942993","","","","","",""
"188","","","","","","","641","641","641","0.8574687242507935","0.8574687242507935","0.8574687242507935","","","","","","","","","","","","","","","","","",""
"189","","","","","","","","","","","","","","","","","","","2235","2235","2235","0.9091321229934692","0.9091321229934692","0.9091321229934692","615","615","615","0.8667288422584534","0.8667288422584534","0.8667288422584534"
"190","","","","","","","","","","","","","","","","","","","2268","2268","2268","0.9102351665496826","0.9102351665496826","0.9102351665496826","","","","","",""
"192","","","","","","","","","","","","","","","","","","","2282","2282","2282","0.9110390543937683","0.9110390543937683","0.9110390543937683","","","","","",""
"193","","","","","","","","","","","","","","","","","","","2297","2297","2297","0.9121004343032837","0.9121004343032837","0.9121004343032837","","","","","",""
