ref	continent	sample	maf_bin	accuracy
REF	AMERICA	HGDP00999	[0.03, 0.06)	0.990556793832305
REF	AMERICA	HGDP00999	[0.06, 0.1)	0.9857429911013299
REF	AMERICA	HGDP00999	[0.1, 0.18)	0.9833135197532779
REF	AMERICA	HGDP00999	[0.18, 0.3)	0.9746695615739154
REF	AMERICA	HGDP00999	[0.3, 0.51)	0.965054087746813
REF	AMERICA	HGDP01014	[0.01, 0.03)	0.9911340526460433
REF	AMERICA	HGDP01014	[0.03, 0.06)	0.9879294935986476
REF	AMERICA	HGDP01014	[0.06, 0.1)	0.981926237786921
REF	AMERICA	HGDP01014	[0.1, 0.18)	0.9813493909477783
REF	AMERICA	HGDP01014	[0.18, 0.3)	0.9719079724221993
REF	AMERICA	HGDP01014	[0.3, 0.51)	0.9594241364056781
REF	AMERICA	HGDP01037	[0.01, 0.03)	0.9890310786106034
REF	AMERICA	HGDP01037	[0.03, 0.06)	0.9897492220391726
REF	AMERICA	HGDP01037	[0.06, 0.1)	0.9857323594764988
REF	AMERICA	HGDP01037	[0.1, 0.18)	0.9776795713375029
REF	AMERICA	HGDP01037	[0.18, 0.3)	0.9701557917190416
REF	AMERICA	HGDP01037	[0.3, 0.51)	0.9562070213536011
REF	AMERICA	HGDP01057	[0.01, 0.03)	0.9906561040016251
REF	AMERICA	HGDP01057	[0.03, 0.06)	0.9917304648383242
REF	AMERICA	HGDP01057	[0.06, 0.1)	0.9859343603482922
REF	AMERICA	HGDP01057	[0.1, 0.18)	0.9818662669492255
REF	AMERICA	HGDP01057	[0.18, 0.3)	0.9700129509008494
REF	AMERICA	HGDP01057	[0.3, 0.51)	0.9503357863835605
REF	AMERICA	LP6005441-DNA_A04	[0.01, 0.03)	0.9874896942323548
REF	AMERICA	LP6005441-DNA_A04	[0.03, 0.06)	0.9901691593716014
REF	AMERICA	LP6005441-DNA_A04	[0.06, 0.1)	0.9810544445507607
REF	AMERICA	LP6005441-DNA_A04	[0.1, 0.18)	0.9817715063489602
REF	AMERICA	LP6005441-DNA_A04	[0.18, 0.3)	0.9726793128404372
