ref	continent	sample	maf_bin	accuracy
noREF	AMERICA	HGDP00849	[0.1, 0.18)	0.9806257645457522
noREF	AMERICA	HGDP00849	[0.18, 0.3)	0.9765645830952653
noREF	AMERICA	HGDP00849	[0.3, 0.51)	0.9644910926126996
noREF	AMERICA	HGDP00854	[0.01, 0.03)	0.9897838477255618
noREF	AMERICA	HGDP00854	[0.03, 0.06)	0.9904921880888544
noREF	AMERICA	HGDP00854	[0.06, 0.1)	0.9866573108368151
noREF	AMERICA	HGDP00854	[0.1, 0.18)	0.9835719577540014
noREF	AMERICA	HGDP00854	[0.18, 0.3)	0.969165428712909
noREF	AMERICA	HGDP00854	[0.3, 0.51)	0.9633751558290103
noREF	AMERICA	HGDP00856	[0.01, 0.03)	0.9911818475104851
noREF	AMERICA	HGDP00856	[0.03, 0.06)	0.988015634589915
noREF	AMERICA	HGDP00856	[0.06, 0.1)	0.9847010918678701
noREF	AMERICA	HGDP00856	[0.1, 0.18)	0.9796437001430023
noREF	AMERICA	HGDP00856	[0.18, 0.3)	0.9753742429436636
noREF	AMERICA	HGDP00856	[0.3, 0.51)	0.9535126874974866
noREF	AMERICA	HGDP00873	[0.01, 0.03)	0.9917792833160077
noREF	AMERICA	HGDP00873	[0.03, 0.06)	0.9889847207416739
noREF	AMERICA	HGDP00873	[0.06, 0.1)	0.9827767677734188
noREF	AMERICA	HGDP00873	[0.1, 0.18)	0.9796609293430506
noREF	AMERICA	HGDP00873	[0.18, 0.3)	0.9687654744219708
noREF	AMERICA	HGDP00873	[0.3, 0.51)	0.9620983632927173
noREF	AMERICA	HGDP00876	[0.01, 0.03)	0.9873463096390291
noREF	AMERICA	HGDP00876	[0.03, 0.06)	0.9865081672427346
noREF	AMERICA	HGDP00876	[0.06, 0.1)	0.988273317811161
noREF	AMERICA	HGDP00876	[0.1, 0.18)	0.9817284333488396
noREF	AMERICA	HGDP00876	[0.18, 0.3)	0.9681179293794995
noREF	AMERICA	HGDP00876	[0.3, 0.51)	0.9576547231270358
noREF	AMERICA	HGDP00995	[0.01, 0.03)	0.9900825656283233
noREF	AMERICA	HGDP00995	[0.03, 0.06)	0.9858405745604117
noREF	AMERICA	HGDP00995	[0.06, 0.1)	0.9824790822781446
noREF	AMERICA	HGDP00995	[0.1, 0.18)	0.9796953877431471
noREF	AMERICA	HGDP00995	[0.18, 0.3)	0.969679655658401
noREF	AMERICA	HGDP00995	[0.3, 0.51)	0.9542868058068927
noREF	AMERICA	HGDP00999	[0.01, 0.03)	0.9892103093522601
noREF	AMERICA	HGDP00999	[0.03, 0.06)	0.991202851266811
noREF	AMERICA	HGDP00999	[0.06, 0.1)	0.9855197269798742
noREF	AMERICA	HGDP00999	[0.1, 0.18)	0.9825726641512035
noREF	AMERICA	HGDP00999	[0.18, 0.3)	0.973460175979888
noREF	AMERICA	HGDP00999	[0.3, 0.51)	0.9666023243656251
noREF	AMERICA	HGDP01014	[0.01, 0.03)	0.99078753987884
noREF	AMERICA	HGDP01014	[0.03, 0.06)	0.9882094518202668
noREF	AMERICA	HGDP01014	[0.06, 0.1)	0.9816285522916467
noREF	AMERICA	HGDP01014	[0.1, 0.18)	0.9812804741475853
noREF	AMERICA	HGDP01014	[0.18, 0.3)	0.9707176322705977
noREF	AMERICA	HGDP01014	[0.3, 0.51)	0.9573832790445168
noREF	AMERICA	HGDP01037	[0.01, 0.03)	0.9891147196233765
noREF	AMERICA	HGDP01037	[0.03, 0.06)	0.9905137233366713
noREF	AMERICA	HGDP01037	[0.06, 0.1)	0.9858067808503174
noREF	AMERICA	HGDP01037	[0.1, 0.18)	0.9773952895367068
noREF	AMERICA	HGDP01037	[0.18, 0.3)	0.9701938826038928
noREF	AMERICA	HGDP01037	[0.3, 0.51)	0.9539148268789961
noREF	AMERICA	HGDP01057	[0.01, 0.03)	0.9908114373110608
noREF	AMERICA	HGDP01057	[0.03, 0.06)	0.9912243865146279
noREF	AMERICA	HGDP01057	[0.06, 0.1)	0.9878905793172371
noREF	AMERICA	HGDP01057	[0.1, 0.18)	0.9819610275494909
noREF	AMERICA	HGDP01057	[0.18, 0.3)	0.9690321106159296
noREF	AMERICA	HGDP01057	[0.3, 0.51)	0.9539952547552981
noREF	AMERICA	LP6005441-DNA_A04	[0.01, 0.03)	0.9876808736901219
noREF	AMERICA	LP6005441-DNA_A04	[0.03, 0.06)	0.9896307781761797
noREF	AMERICA	LP6005441-DNA_A04	[0.06, 0.1)	0.9803102308125751
noREF	AMERICA	LP6005441-DNA_A04	[0.1, 0.18)	0.9814527661480678
noREF	AMERICA	LP6005441-DNA_A04	[0.18, 0.3)	0.9716413362282404
noREF	AMERICA	LP6005441-DNA_A04	[0.3, 0.51)	0.9686029677886354
noREF	AMERICA	LP6005441-DNA_B12	[0.01, 0.03)	0.9900108733316605
noREF	AMERICA	LP6005441-DNA_B12	[0.03, 0.06)	0.9891031646046665
noREF	AMERICA	LP6005441-DNA_B12	[0.06, 0.1)	0.989081321298334
noREF	AMERICA	LP6005441-DNA_B12	[0.1, 0.18)	0.9836494891542186
noREF	AMERICA	LP6005441-DNA_B12	[0.18, 0.3)	0.9715175408524739
noREF	AMERICA	LP6005441-DNA_B12	[0.3, 0.51)	0.9580669159930832
noREF	AMERICA	LP6005441-DNA_E10	[0.01, 0.03)	0.9913969244004731
noREF	AMERICA	LP6005441-DNA_E10	[0.03, 0.06)	0.9915797181036061
noREF	AMERICA	LP6005441-DNA_E10	[0.06, 0.1)	0.9868593117086084
noREF	AMERICA	LP6005441-DNA_E10	[0.1, 0.18)	0.9820730173498045
noREF	AMERICA	LP6005441-DNA_E10	[0.18, 0.3)	0.9649754313792711
noREF	AMERICA	LP6005441-DNA_E10	[0.3, 0.51)	0.9595347247355934
noREF	AMERICA	LP6005441-DNA_F10	[0.01, 0.03)	0.9884575402373016
noREF	AMERICA	LP6005441-DNA_F10	[0.03, 0.06)	0.9911705483950857
noREF	AMERICA	LP6005441-DNA_F10	[0.06, 0.1)	0.983457191762617
noREF	AMERICA	LP6005441-DNA_F10	[0.1, 0.18)	0.9784721145397219
noREF	AMERICA	LP6005441-DNA_F10	[0.18, 0.3)	0.9690416333371424
noREF	AMERICA	LP6005441-DNA_F10	[0.3, 0.51)	0.9574435999517432
noREF	AMERICA	LP6005441-DNA_H06	[0.01, 0.03)	0.9896643605644573
noREF	AMERICA	LP6005441-DNA_H06	[0.03, 0.06)	0.988812438759139
noREF	AMERICA	LP6005441-DNA_H06	[0.06, 0.1)	0.9820857121593893
noREF	AMERICA	LP6005441-DNA_H06	[0.1, 0.18)	0.9824951327509864
noREF	AMERICA	LP6005441-DNA_H06	[0.18, 0.3)	0.9722126995010094
noREF	AMERICA	LP6005441-DNA_H06	[0.3, 0.51)	0.9553524751678931
noREF	CENTRAL_SOUTH_ASIA	HGDP00001	[0.01, 0.03)	0.9760906190629817
noREF	CENTRAL_SOUTH_ASIA	HGDP00001	[0.03, 0.06)	0.9777433213812707
noREF	CENTRAL_SOUTH_ASIA	HGDP00001	[0.06, 0.1)	0.9788855930851912
noREF	CENTRAL_SOUTH_ASIA	HGDP00001	[0.1, 0.18)	0.9745955445288677
noREF	CENTRAL_SOUTH_ASIA	HGDP00001	[0.18, 0.3)	0.9605759341789509
noREF	CENTRAL_SOUTH_ASIA	HGDP00001	[0.3, 0.51)	0.9395584509591024
