ref	sample	acc	continent
REF	HGDP01181	96.83126882877212	EAS
REF	HGDP01185	97.40232719817722	EAS
REF	HGDP01189	97.36392961231971	EAS
REF	HGDP01190	97.47472440851648	EAS
REF	HGDP01195	97.5043260716225	EAS
REF	HGDP01202	96.43071603885768	AFR
REF	HGDP01204	97.29948256292892	EAS
REF	HGDP01205	97.36697435481061	EAS
REF	HGDP01212	97.24433889337143	EAS
REF	HGDP01213	97.21592129678966	EAS
REF	HGDP01214	97.07924618942019	EAS
REF	HGDP01220	97.09345498771108	EAS
REF	HGDP01222	97.29711442988042	EAS
REF	HGDP01224	97.24044838907749	EAS
REF	HGDP01225	97.52902231627094	EAS
REF	HGDP01231	97.3553028419288	EAS
REF	HGDP01233	97.52039554588004	EAS
REF	HGDP01234	97.12559393622617	EAS
REF	HGDP01239	96.97826223013855	EAS
REF	HGDP01243	97.21067757361088	EAS
REF	HGDP01244	97.33077574964096	EAS
REF	HGDP01249	97.20932435472602	EAS
REF	HGDP01254	97.19410064227151	ME
REF	HGDP01262	97.06419162932629	ME
REF	HGDP01272	97.18090675814426	ME
REF	HGDP01285	96.60003755182407	AFR
REF	HGDP01287	97.18209082466849	EAS
REF	HGDP01288	97.3375418440652	EAS
REF	HGDP01292	97.26193073887443	EAS
REF	HGDP01295	97.24806024530476	EAS
REF	HGDP01299	97.22336400065632	CSA
REF	HGDP01301	97.22234908649268	CSA
REF	HGDP01302	97.51278368965278	CSA
REF	HGDP01309	97.51836571755277	EAS
REF	HGDP01310	97.76042274557962	EAS
REF	HGDP01317	97.63541915109197	EAS
REF	HGDP01318	97.29474629683195	EAS
REF	HGDP01326	97.21270740193815	EAS
REF	HGDP01327	97.03678894690815	EAS
REF	HGDP01328	97.31487542774403	EAS
REF	HGDP01332	97.3141988183016	EAS
REF	HGDP01337	97.29457714447135	EAS
REF	HGDP01339	97.5166741939467	EAS
REF	HGDP01346	97.20695622167756	EAS
REF	HGDP01347	97.43243631836503	EAS
REF	HGDP01348	97.16635965513217	EAS
REF	HGDP01353	97.23063755216236	EAS
REF	HGDP01357	97.8272379280189	EUR
REF	HGDP01358	97.97338556758228	EUR
REF	HGDP01367	97.92534629717026	EUR
REF	HGDP01374	98.23557172652123	EUR
REF	HGDP01382	97.28696528824408	EUR
REF	HGDP01383	97.13168342120798	EUR
REF	HGDP01387	97.06605230529296	EUR
REF	HGDP01405	96.73840418279957	AFR
REF	HGDP01415	95.93662199352823	AFR
REF	LP6005441-DNA_A01	97.31927338911979	EUR
REF	LP6005441-DNA_A03	95.7510618539437	OC
REF	LP6005441-DNA_A04	98.01990246674887	AMR
REF	LP6005441-DNA_A06	97.5043260716225	EUR
REF	LP6005441-DNA_B02	96.51258578139088	AFR
REF	LP6005441-DNA_B03	95.96757687551909	OC
REF	LP6005441-DNA_B06	97.06419162932627	EUR
REF	LP6005441-DNA_B11	88.53468384578042	AFR
REF	LP6005441-DNA_B12	97.94276899031266	AMR
REF	LP6005441-DNA_C05	97.37492451575908	EAS
REF	LP6005441-DNA_C08	97.1787077774564	EAS
REF	LP6005441-DNA_C09	97.95680863624291	EUR
REF	LP6005441-DNA_D11	97.23283653285024	EUR
REF	LP6005441-DNA_D12	97.32350219813492	EAS
