Population,UMAP1,UMAP2,SP,Color
Southern Han Chinese,-3.2296693,14.151087,EAS,#1CA71C
Southern Han Chinese,-3.2296689,14.263729,EAS,#1CA71C
Southern Han Chinese,-3.4546876,13.160726,EAS,#1CA71C
Southern Han Chinese,-3.9376974,13.310359,EAS,#1CA71C
Southern Han Chinese,-3.9495177,13.131494,EAS,#1CA71C
Southern Han Chinese,-3.5553615,13.57171,EAS,#1CA71C
Southern Han Chinese,-3.1612644,13.593461,EAS,#1CA71C
Southern Han Chinese,-3.3852804,13.684316,EAS,#1CA71C
Southern Han Chinese,-3.7299693,14.659805,EAS,#1CA71C
Southern Han Chinese,-4.000302,14.483555,EAS,#1CA71C
Southern Han Chinese,-3.788028,14.560464,EAS,#1CA71C
Southern Han Chinese,-3.9144552,14.23071,EAS,#1CA71C
Southern Han Chinese,-3.9199986,14.382548,EAS,#1CA71C
Southern Han Chinese,-3.9086976,14.113676,EAS,#1CA71C
Southern Han Chinese,-3.9535549,14.136365,EAS,#1CA71C
Southern Han Chinese,-3.9604988,14.009478,EAS,#1CA71C
Southern Han Chinese,-2.690171,13.695909,EAS,#1CA71C
Southern Han Chinese,-4.09193,14.162598,EAS,#1CA71C
Southern Han Chinese,-3.5639122,13.2311325,EAS,#1CA71C
Southern Han Chinese,-2.865988,12.144668,EAS,#1CA71C
Southern Han Chinese,-2.928597,12.202502,EAS,#1CA71C
Southern Han Chinese,-3.736842,15.211694,EAS,#1CA71C
Southern Han Chinese,-3.931736,14.8533325,EAS,#1CA71C
Southern Han Chinese,-3.8306339,14.9971,EAS,#1CA71C
Southern Han Chinese,-2.5941083,14.601775,EAS,#1CA71C
Southern Han Chinese,-2.6958187,14.589015,EAS,#1CA71C
Southern Han Chinese,-2.7219832,14.567397,EAS,#1CA71C
Southern Han Chinese,-4.9246445,15.405115,EAS,#1CA71C
Southern Han Chinese,-4.9227715,15.404306,EAS,#1CA71C
Southern Han Chinese,-4.9116335,15.397412,EAS,#1CA71C
Southern Han Chinese,-2.6185596,13.872538,EAS,#1CA71C
Southern Han Chinese,-2.9792042,14.409982,EAS,#1CA71C
Southern Han Chinese,-2.4894032,13.951371,EAS,#1CA71C
Southern Han Chinese,-3.3598804,15.121922,EAS,#1CA71C
Southern Han Chinese,-3.5019565,15.374188,EAS,#1CA71C
Southern Han Chinese,-3.4127285,15.284928,EAS,#1CA71C
Southern Han Chinese,-3.8732173,14.813447,EAS,#1CA71C
Southern Han Chinese,-3.3546681,14.526684,EAS,#1CA71C
Southern Han Chinese,-3.3027785,14.454822,EAS,#1CA71C
Southern Han Chinese,-2.9241688,14.450214,EAS,#1CA71C
Southern Han Chinese,-3.0896351,14.521162,EAS,#1CA71C
Southern Han Chinese,-3.313866,14.662835,EAS,#1CA71C
Southern Han Chinese,-3.621455,14.603099,EAS,#1CA71C
Southern Han Chinese,-3.6293375,14.637348,EAS,#1CA71C
Southern Han Chinese,-3.7714295,15.152173,EAS,#1CA71C
Southern Han Chinese,-3.7715256,15.166876,EAS,#1CA71C
Southern Han Chinese,-3.7802765,15.166962,EAS,#1CA71C
Southern Han Chinese,-3.7517507,14.73218,EAS,#1CA71C
Southern Han Chinese,-3.8634343,14.7631445,EAS,#1CA71C
Southern Han Chinese,-3.8212597,14.758263,EAS,#1CA71C
Southern Han Chinese,-4.337585,14.726124,EAS,#1CA71C
Southern Han Chinese,-4.891755,15.375388,EAS,#1CA71C
Southern Han Chinese,-4.928772,15.408475,EAS,#1CA71C
Southern Han Chinese,-2.9634097,14.2426195,EAS,#1CA71C
Southern Han Chinese,-3.0206199,14.328443,EAS,#1CA71C
Southern Han Chinese,-2.879466,14.340129,EAS,#1CA71C
Southern Han Chinese,-2.713761,14.053687,EAS,#1CA71C
Southern Han Chinese,-2.9047222,14.275341,EAS,#1CA71C
Southern Han Chinese,-2.7066917,14.032877,EAS,#1CA71C
Southern Han Chinese,-3.1180491,14.786002,EAS,#1CA71C
Southern Han Chinese,-2.7600415,14.364604,EAS,#1CA71C
Southern Han Chinese,-2.737073,14.365931,EAS,#1CA71C
Puerto Rican,18.556917,-4.6482177,AMR,#FB0D0D
Puerto Rican,18.496756,-4.135086,AMR,#FB0D0D
Puerto Rican,18.785963,-5.6434216,AMR,#FB0D0D
Puerto Rican,18.79633,-5.6190734,AMR,#FB0D0D
Puerto Rican,18.769363,-5.6510763,AMR,#FB0D0D
Puerto Rican,19.299355,-5.45499,AMR,#FB0D0D
Puerto Rican,19.284628,-5.594716,AMR,#FB0D0D
Puerto Rican,19.394987,-5.4267626,AMR,#FB0D0D
Puerto Rican,18.80577,-4.75993,AMR,#FB0D0D
Puerto Rican,18.709238,-4.991196,AMR,#FB0D0D
Puerto Rican,18.783571,-4.823848,AMR,#FB0D0D
Puerto Rican,18.541435,-4.3317156,AMR,#FB0D0D
Puerto Rican,18.564512,-4.583021,AMR,#FB0D0D
Puerto Rican,18.531446,-4.447298,AMR,#FB0D0D
Puerto Rican,19.261913,-5.0167837,AMR,#FB0D0D
Puerto Rican,19.325647,-4.8794084,AMR,#FB0D0D
Puerto Rican,18.333172,-4.8733907,AMR,#FB0D0D
Puerto Rican,18.446728,-4.9834933,AMR,#FB0D0D
Puerto Rican,18.381027,-5.006603,AMR,#FB0D0D
Puerto Rican,19.327951,-4.4425573,AMR,#FB0D0D
Puerto Rican,19.254784,-4.664009,AMR,#FB0D0D
Puerto Rican,19.325813,-4.5957913,AMR,#FB0D0D
Puerto Rican,18.672394,-4.040153,AMR,#FB0D0D
Puerto Rican,18.804073,-5.2389336,AMR,#FB0D0D
Puerto Rican,19.337465,-4.8978477,AMR,#FB0D0D
